listing_type,tenant_rating,bedrooms,bathrooms,monthly_rent
Private room,5,2,1,650
Private room,5,1,1,900
Shared room,5,1,3.5,650
Entire home/apt,5,2,1,1120
Entire home/apt,5,2,1,1150
Entire home/apt,5,3,2,2250
Entire home/apt,5,4,2,2370
Private room,4.5,1,1,490
Private room,4.5,1,1,950
Entire home/apt,5,0,1,900
Private room,5,1,1,550
Private room,4.5,1,1,700
Private room,5,1,1,350
Entire home/apt,5,2,1,1400
Entire home/apt,5,3,2,3950
Entire home/apt,5,1,1,790
Private room,4.5,1,1,600
Entire home/apt,5,1,1,1500
Entire home/apt,5,5,3,1940
Private room,5,1,1,1000
Entire home/apt,4.5,2,1,950
Entire home/apt,5,2,2.5,850
Entire home/apt,,2,1.5,2500
Entire home/apt,5,1,2,2000
Entire home/apt,,4,3,2250
Entire home/apt,4.5,1,1,890
Private room,5,1,2,450
Entire home/apt,4.5,3,1,1650
Entire home/apt,4.5,1,1,1100
Entire home/apt,5,1,1,680
Entire home/apt,5,1,1,750
Entire home/apt,5,0,1,1000
Private room,5,1,1,900
Entire home/apt,5,1,1,1090
Private room,4.5,1,1,600
Private room,5,1,1,500
Private room,5,1,1.5,340
Private room,4.5,1,1,590
Entire home/apt,4.5,1,1,990
Entire home/apt,4,1,1,880
Entire home/apt,4.5,3,3,1350
Entire home/apt,5,0,1,950
Entire home/apt,4.5,1,1,1600
Shared room,5,1,1,350
Entire home/apt,5,0,1,1000
Private room,4.5,1,3,650
Entire home/apt,5,0,1,1090
Private room,5,1,1,1730
Entire home/apt,4,1,1,900
Entire home/apt,4.5,1,1,1100
Entire home/apt,5,0,1,500
Entire home/apt,5,1,1,800
Private room,5,1,1,450
Entire home/apt,5,2,1,1050
Entire home/apt,4.5,1,1,800
Entire home/apt,5,0,1,1200
Entire home/apt,5,1,1,990
Entire home/apt,5,2,2.5,4500
Shared room,4.5,1,3.5,630
Shared room,5,1,3.5,650
Entire home/apt,5,1,1,950
Entire home/apt,5,1,1,2250
Entire home/apt,5,2,1.5,1950
Entire home/apt,5,1,1,1700
Private room,5,1,3,1050
Shared room,5,1,3.5,650
Shared room,5,1,3.5,380
Private room,4.5,1,1,540
Private room,4.5,1,1,370
Private room,5,1,1.5,450
Entire home/apt,5,1,2,1500
Entire home/apt,,1,1,1300
Private room,4.5,1,3,850
Entire home/apt,4.5,1,1,1000
Entire home/apt,4.5,1,1,650
Private room,5,1,1,880
Private room,4.5,1,1,950
Private room,4.5,1,1,590
Private room,5,2,1,630
Entire home/apt,5,1,1,1100
Entire home/apt,4.5,1,1,1350
Entire home/apt,5,0,1,800
Entire home/apt,5,1,1,1120
Entire home/apt,5,1,1,1100
Entire home/apt,5,1,1,1200
Entire home/apt,4.5,1,1,750
Private room,5,1,1,700
Private room,5,1,1,400
Entire home/apt,5,1,1,1300
Entire home/apt,5,2,1,1900
Private room,5,1,1,450
Entire home/apt,5,2,2,1750
Entire home/apt,4.5,2,2,880
Entire home/apt,4.5,2,1.5,2350
Entire home/apt,4.5,0,1,950
Entire home/apt,4.5,2,1,1600
Entire home/apt,4.5,4,4,4850
Entire home/apt,4.5,1,1,1500
Entire home/apt,5,2,2.5,1490
Entire home/apt,5,1,1,1100
Entire home/apt,5,3,1.5,9600
Private room,4.5,1,2,350
Entire home/apt,5,2,1,1680
Entire home/apt,5,5,4,5500
Private room,5,1,1,440
Entire home/apt,4.5,2,1,1850
Entire home/apt,5,1,1,500
Private room,4.5,1,1,400
Private room,5,1,1,400
Private room,5,1,1.5,2500
Entire home/apt,5,1,1,1050
Entire home/apt,,1,1,750
Private room,5,1,1,1550
